car,feature,relation
Car B,Luxury Seating,improves
Car C,High Mileage,recommended_for
Car D,Eco Friendly,linked_to
Car E,Eco Friendly,improves
Car F,Luxury Seating,suitable_for_city
Car G,Off-road Capability,improves
Car H,Compact Size,recommended_for
Car I,Low Noise,linked_to
Car J,Off-road Capability,linked_to
Car K,Off-road Capability,suitable_for_city
Car L,Compact Size,enhances
Car M,Fast Charging,recommended_for
Car N,Eco Friendly,improves
Car O,High Mileage,recommended_for
Car P,Comfort Mode,linked_to
Car Q,High Mileage,improves
Car R,Compact Size,suitable_for_city
Car S,Fast Charging,reduces
Car T,Compact Size,reduces
Car U,Fast Charging,suitable_for_city
Car V,Eco Friendly,reduces
Car W,High Mileage,reduces
Car X,Compact Size,suitable_for_city
Car Y,High Mileage,recommended_for
Car Z,Luxury Seating,recommended_for
Car A,Luxury Seating,linked_to
Car B,Comfort Mode,reduces
Car C,Eco Friendly,linked_to
Car D,Luxury Seating,suitable_for_city
Car E,Compact Size,improves
Car F,Eco Friendly,suitable_for_city
Car G,Low Noise,optimized_for
Car H,Fast Charging,recommended_for
Car I,Eco Friendly,reduces
Car J,High Mileage,linked_to
Car K,Comfort Mode,supports
Car L,Eco Friendly,linked_to
Car M,High Mileage,supports
Car N,High Mileage,optimized_for
Car O,Low Noise,enhances
Car P,Low Noise,linked_to
Car Q,Comfort Mode,supports
Car R,Compact Size,suitable_for_city
Car S,Comfort Mode,optimized_for
Car T,High Mileage,linked_to
Car U,Off-road Capability,enhances
Car V,Off-road Capability,recommended_for
Car W,Comfort Mode,reduces
Car X,Low Noise,optimized_for
Car Y,Compact Size,reduces
Car Z,Luxury Seating,reduces
Car A,High Mileage,reduces
Car B,Off-road Capability,supports
Car C,Low Noise,enhances
Car D,Comfort Mode,recommended_for
Car E,Eco Friendly,suitable_for_city
Car F,Fast Charging,suitable_for_city
Car G,Compact Size,recommended_for
Car H,Compact Size,suitable_for_city
Car I,Off-road Capability,recommended_for
Car J,Compact Size,recommended_for
Car K,Off-road Capability,linked_to
Car L,Low Noise,recommended_for
Car M,Fast Charging,reduces
Car N,Off-road Capability,supports
Car O,High Mileage,recommended_for
Car P,Off-road Capability,suitable_for_city
Car Q,Off-road Capability,suitable_for_city
Car R,High Mileage,optimized_for
Car S,Compact Size,reduces
Car T,Luxury Seating,improves
Car U,Low Noise,supports
Car V,Off-road Capability,supports
Car W,Luxury Seating,optimized_for
Car X,Compact Size,reduces
Car Y,Eco Friendly,supports
Car Z,Luxury Seating,optimized_for
Car A,Fast Charging,recommended_for
Car B,Compact Size,supports
Car C,Eco Friendly,supports
Car D,Off-road Capability,recommended_for
Car E,Eco Friendly,recommended_for
Car F,Fast Charging,optimized_for
Car G,Off-road Capability,supports
Car H,Off-road Capability,suitable_for_city
Car I,Compact Size,suitable_for_city
Car J,Comfort Mode,supports
Car K,Low Noise,reduces
Car L,High Mileage,linked_to
Car M,High Mileage,supports
Car N,Fast Charging,recommended_for
Car O,Eco Friendly,optimized_for
Car P,Comfort Mode,recommended_for
Car Q,Luxury Seating,optimized_for
Car R,Comfort Mode,supports
Car S,High Mileage,improves
Car T,Fast Charging,supports
Car U,Comfort Mode,enhances
Car V,Comfort Mode,supports
Car W,Off-road Capability,improves
Car X,Compact Size,recommended_for
Car Y,Fast Charging,recommended_for
Car Z,Compact Size,linked_to
Car A,High Mileage,suitable_for_city
Car B,Luxury Seating,supports
Car C,Compact Size,enhances
Car D,Off-road Capability,optimized_for
Car E,Comfort Mode,suitable_for_city
Car F,Low Noise,supports
Car G,Low Noise,reduces
Car H,Compact Size,optimized_for
Car I,Luxury Seating,recommended_for
Car J,Compact Size,suitable_for_city
Car K,Eco Friendly,enhances
Car L,Off-road Capability,optimized_for
Car M,Comfort Mode,suitable_for_city
Car N,Comfort Mode,optimized_for
Car O,High Mileage,enhances
Car P,Off-road Capability,optimized_for
Car Q,Off-road Capability,enhances
Car R,Luxury Seating,improves
Car S,Comfort Mode,enhances
Car T,Eco Friendly,linked_to
Car U,Fast Charging,enhances
Car V,High Mileage,recommended_for
Car W,Eco Friendly,suitable_for_city
Car X,Eco Friendly,suitable_for_city
Car Y,Off-road Capability,enhances
Car Z,Low Noise,supports
Car A,Compact Size,improves
Car B,Compact Size,optimized_for
Car C,Low Noise,enhances
Car D,Luxury Seating,suitable_for_city
Car E,Off-road Capability,improves
Car F,Eco Friendly,supports
Car G,Low Noise,improves
Car H,Comfort Mode,recommended_for
Car I,Compact Size,recommended_for
Car J,Off-road Capability,enhances
Car K,Low Noise,recommended_for
Car L,Fast Charging,supports
Car M,Low Noise,suitable_for_city
Car N,Compact Size,suitable_for_city
Car O,Fast Charging,enhances
Car P,Compact Size,enhances
Car Q,Low Noise,suitable_for_city
Car R,Fast Charging,enhances
Car S,High Mileage,supports
Car T,Fast Charging,linked_to
Car U,Off-road Capability,recommended_for
Car V,Off-road Capability,recommended_for
Car W,Low Noise,optimized_for
Car X,Comfort Mode,improves
Car Y,Off-road Capability,linked_to
Car Z,High Mileage,reduces
Car A,Compact Size,enhances
Car B,Low Noise,optimized_for
Car C,Luxury Seating,linked_to
Car D,Comfort Mode,suitable_for_city
Car E,Compact Size,enhances
Car F,Luxury Seating,linked_to
Car G,High Mileage,improves
Car H,Compact Size,recommended_for
Car I,Eco Friendly,enhances
Car J,Luxury Seating,optimized_for
Car K,Eco Friendly,suitable_for_city
Car L,Luxury Seating,reduces
Car M,Eco Friendly,enhances
Car N,Comfort Mode,optimized_for
Car O,Comfort Mode,recommended_for
Car P,Eco Friendly,improves
Car Q,Off-road Capability,linked_to
Car R,Compact Size,enhances
Car S,Compact Size,improves
Car T,Off-road Capability,improves
Car U,Luxury Seating,optimized_for
Car V,High Mileage,optimized_for
Car W,Eco Friendly,linked_to
Car X,Comfort Mode,improves
Car Y,Luxury Seating,enhances
Car Z,High Mileage,improves
Car A,Eco Friendly,recommended_for
Car B,High Mileage,enhances
Car C,Low Noise,suitable_for_city
Car D,Comfort Mode,optimized_for
Car E,Off-road Capability,recommended_for
Car F,Off-road Capability,supports
Car G,Fast Charging,enhances
Car H,Fast Charging,optimized_for
Car I,Eco Friendly,improves
Car J,Low Noise,improves
Car K,Off-road Capability,optimized_for
Car L,Fast Charging,improves
Car M,Off-road Capability,recommended_for
Car N,Fast Charging,optimized_for
Car O,Comfort Mode,reduces
Car P,Off-road Capability,optimized_for
Car Q,Luxury Seating,recommended_for
Car R,High Mileage,suitable_for_city
Car S,Eco Friendly,linked_to
